City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Sao Filipe,CV,14.8961,-24.4956,73.09,79,31,5.46,scattered clouds
79,Dimbokro,CI,6.6451,-4.7048,76.6,83,63,3.02,broken clouds
80,Bonavista,CA,48.6499,-53.1147,40.12,96,100,14.56,light rain
81,Dikson,RU,73.5069,80.5464,17.82,93,100,22.57,light snow
82,Dourados,BR,-22.2211,-54.8056,64.67,71,95,5.75,overcast clouds
83,Fairbanks,US,64.8378,-147.7164,53.94,60,75,8.05,light intensity shower rain
84,Etchoropo,MX,26.7667,-109.6667,95.41,39,0,12.08,clear sky
85,Mahebourg,MU,-20.4081,57.7,76.24,88,75,17.27,light intensity shower rain
86,Faanui,PF,-16.4833,-151.75,81.34,72,83,7.54,broken clouds
87,Lagoa,PT,39.05,-27.9833,62.15,86,100,27.34,overcast clouds
88,Solnechnyy,RU,50.7214,136.6319,38.41,95,100,5.37,overcast clouds
89,Dekar,BW,-21.5333,21.9333,60.75,35,0,3.31,clear sky
90,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,17.27,few clouds
91,Bethel,US,41.3712,-73.414,70.36,36,0,9.22,clear sky
92,Ilulissat,GL,69.2167,-51.1,24.82,54,0,11.5,clear sky
93,Valparaiso,CL,-33.0393,-71.6273,59.23,84,100,6.91,mist
94,Paraiba Do Sul,BR,-22.1619,-43.2928,68.92,82,5,3.11,clear sky
95,Khandyga,RU,62.6667,135.6,32.13,98,100,8.48,snow
96,Vilhena,BR,-12.7406,-60.1458,75.42,64,0,9.22,clear sky
97,Atuona,PF,-9.8,-139.0333,79.12,78,100,14.32,overcast clouds
98,Russkaya Polyana,UA,49.417,31.9201,44.13,73,6,6.67,clear sky
99,Port Macquarie,AU,-31.4333,152.9167,64.89,84,80,10.04,broken clouds
100,Zlobin,HR,45.2924,14.6541,51.15,71,0,2.3,clear sky
101,Bredasdorp,ZA,-34.5322,20.0403,57.63,93,16,4.61,few clouds
102,Aasiaat,GL,68.7098,-52.8699,17.96,83,26,5.3,scattered clouds
103,Mayumba,GA,-3.432,10.6554,78.44,93,93,3.71,light rain
104,Airai,TL,-8.9266,125.4092,59.72,92,51,2.8,broken clouds
105,Mayskiy,RU,47.6931,40.1025,51.21,46,100,16.53,overcast clouds
106,Marakkanam,IN,12.2,79.95,84.4,78,94,9.28,overcast clouds
107,Pouebo,NC,-20.4,164.5667,78.31,74,18,8.41,few clouds
108,Duluth,US,46.7833,-92.1066,65.07,49,0,11.5,clear sky
109,Azad Shahr,IR,34.7909,48.5707,48.69,71,20,4.61,few clouds
110,Hokitika,NZ,-42.7167,170.9667,58.69,78,0,2.59,clear sky
111,Katobu,ID,-4.9408,122.5276,75.2,92,99,2.44,overcast clouds
112,Birao,CF,10.2849,22.7882,83.28,55,66,6.42,broken clouds
113,Narsaq,GL,60.9167,-46.05,37.62,86,100,7.02,light rain
114,Kavieng,PG,-2.5744,150.7967,84.58,74,87,13.44,overcast clouds
115,Thompson,CA,55.7435,-97.8558,37.56,93,100,5.75,overcast clouds
116,Coruripe,BR,-10.1256,-36.1756,78.13,81,3,9.26,clear sky
117,Yumen,CN,40.2833,97.2,57.87,25,100,22.35,overcast clouds
118,Pevek,RU,69.7008,170.3133,27.48,92,98,7.16,overcast clouds
119,Puerto Guzman,CO,0.9703,-76.5858,70.84,100,100,2.28,moderate rain
120,Ouesso,CG,1.6136,16.0517,69.69,99,100,1.72,light rain
121,Banda Aceh,ID,5.5577,95.3222,78.8,85,98,13.73,light rain
122,Weiser,US,44.251,-116.9693,70.0,49,100,11.01,light rain
123,Itarema,BR,-2.9248,-39.9167,77.2,89,66,10.27,broken clouds
124,Aklavik,CA,68.2191,-135.0107,26.6,80,100,10.36,overcast clouds
125,Capitan Bado,PY,-23.2667,-55.5333,63.72,80,100,4.36,overcast clouds
126,Naduvattam,IN,11.4833,76.5667,57.47,83,100,3.65,overcast clouds
127,Hithadhoo,MV,-0.6,73.0833,84.04,74,100,15.77,heavy intensity rain
128,Yancheng,CN,33.3856,120.1253,58.84,96,85,7.31,overcast clouds
129,Talcahuano,CL,-36.7167,-73.1167,55.08,94,100,3.44,mist
130,Viedma,AR,-40.8135,-62.9967,60.71,58,73,6.64,broken clouds
131,East London,ZA,-33.0153,27.9116,71.38,45,0,5.93,clear sky
132,Pokhara,NP,28.2333,83.9833,67.01,86,82,3.62,broken clouds
133,Black Forest,US,39.0131,-104.7008,65.34,33,0,14.0,clear sky
134,Carnarvon,AU,-24.8667,113.6333,60.87,51,0,9.22,clear sky
135,Chuy,UY,-33.6971,-53.4616,57.74,78,89,5.86,overcast clouds
136,Port Lincoln,AU,-34.7333,135.8667,56.03,55,94,8.99,moderate rain
137,Macau,MO,22.2006,113.5461,75.0,88,40,8.05,scattered clouds
138,Verkhnevilyuysk,RU,63.4453,120.3167,30.61,96,100,4.32,snow
139,Olafsvik,IS,64.8945,-23.7142,37.17,80,80,16.44,broken clouds
140,Qaanaaq,GL,77.484,-69.3632,17.06,80,5,5.46,clear sky
141,Jiuquan,CN,39.7432,98.5174,55.49,29,80,4.65,broken clouds
142,Texarkana,US,33.4251,-94.0477,68.23,91,40,18.01,scattered clouds
143,Tura,IN,25.5198,90.2201,68.59,91,2,3.71,clear sky
144,Iqaluit,CA,63.7506,-68.5145,20.7,67,20,20.0,few clouds
145,Lasa,IT,46.6166,10.7002,48.36,95,100,1.99,overcast clouds
146,Kodiak,US,57.79,-152.4072,45.91,76,100,16.11,overcast clouds
147,Nanortalik,GL,60.1432,-45.2371,33.67,90,100,12.17,light snow
148,Balabac,PH,7.9868,117.0645,82.51,81,76,12.59,broken clouds
149,Maarianhamina,AX,60.0973,19.9348,40.86,87,0,3.44,clear sky
150,Mackay,AU,-21.15,149.2,76.68,89,21,4.65,few clouds
151,Pangkalanbuun,ID,-2.6833,111.6167,73.44,98,40,1.81,scattered clouds
152,Bayir,TR,37.2687,28.2167,59.52,57,0,7.14,clear sky
153,Stephanskirchen,DE,47.8595,12.1528,57.43,77,100,2.35,light rain
154,Buala,SB,-8.145,159.5921,83.98,71,32,7.02,scattered clouds
155,Dali,CN,25.7,100.1833,56.41,82,64,2.26,broken clouds
156,Faya,SA,18.3851,42.4509,68.11,38,53,3.2,broken clouds
157,Okhotsk,RU,59.3833,143.3,31.08,93,98,7.18,overcast clouds
158,Ondangwa,NA,-17.9167,15.95,53.6,37,0,2.3,clear sky
159,Victoria,HK,22.2855,114.1577,77.18,82,9,5.99,clear sky
160,Helsinki,FI,60.1695,24.9355,43.97,69,0,2.3,light rain
161,Panama City,PA,8.9936,-79.5197,80.17,90,75,6.91,broken clouds
162,Shahrud,IR,36.4182,54.9763,65.52,45,100,5.19,overcast clouds
163,Fare,PF,-16.7,-151.0167,81.43,75,30,8.19,scattered clouds
