Hotels2,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Rongcheng,CN,66.78,clear sky,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
390,Ambam,CM,70.5,moderate rain,2.3833,11.2833,Ambam Séjour
393,Katsuura,JP,66.34,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
394,Sangin,AF,72.91,clear sky,32.0728,64.8359,
395,Gizo,SB,84.11,broken clouds,-8.103,156.8419,Imagination Island
400,Siuna,NI,78.22,overcast clouds,13.7332,-84.7773,hotel los chinitos
402,Changde,CN,69.06,broken clouds,29.0464,111.6783,Kangshida Hotel
403,Los Llanos De Aridane,ES,62.35,overcast clouds,28.6585,-17.9182,Valle Aridane
404,Dunedin,NZ,62.06,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
405,Saquarema,BR,75.34,few clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
407,Arrecife,ES,66.18,few clouds,28.963,-13.5477,Hotel Lancelot
408,Polson,US,65.21,overcast clouds,47.6936,-114.1632,Americas Best Value Port Polson Inn
409,Poum,NC,78.89,broken clouds,-20.2333,164.0167,
414,Tual,ID,84.92,broken clouds,-5.6667,132.75,Grand Vilia Hotel
415,Eldorado,BR,66.07,overcast clouds,-23.7869,-54.2836,Villa Verde Hotel
416,Sao Felix Do Xingu,BR,73.02,broken clouds,-6.6447,-51.995,Rio Xingu Camping
418,Byron Bay,AU,69.94,overcast clouds,-28.65,153.6167,Backpackers Inn
426,Mangrol,IN,80.47,clear sky,21.1167,70.1167,Hotel The Royal Honours
427,Sioux Lookout,CA,62.67,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
428,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
429,Caravelas,BR,79.54,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
430,Dogondoutchi,NE,88.99,overcast clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
431,Pochutla,MX,87.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
432,Benicarlo,ES,65.25,clear sky,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
433,Karachi,PK,80.42,smoke,24.9056,67.0822,Sadaat
434,Tevaitoa,PF,81.54,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
437,Acari,PE,69.93,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
438,Sunland Park,US,87.35,clear sky,31.7965,-106.58,SpringHill Suites by Marriott El Paso
439,Huai Thalaeng,TH,84.27,overcast clouds,14.997,102.6475,รีสอร์ทฟิวแอนทิว
440,Richards Bay,ZA,65.43,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
442,Mwene-Ditu,CD,66.02,broken clouds,-7.0,23.45,Hôtel Kamas
445,Sadiqabad,PK,87.55,few clouds,28.3062,70.1307,MIDWAY HOTEL & RESTAURANT
447,Sao Jose Da Coroa Grande,BR,78.8,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
450,Narasannapeta,IN,80.64,broken clouds,18.4167,84.05,AVK events and catering
451,Bela,IN,83.48,clear sky,25.9333,81.9833,Raj Bhawan
453,Nerja,ES,60.94,clear sky,36.7585,-3.8873,Toboso apar-turis
455,Meulaboh,ID,76.08,heavy intensity rain,4.1363,96.1285,Kost Pria
456,Kununurra,AU,76.98,clear sky,-15.7667,128.7333,Hotel Kununurra
457,Fayaoue,NC,78.04,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
459,Plettenberg Bay,ZA,62.51,clear sky,-34.0527,23.3716,Thanda Vista B&B
460,Half Moon Bay,US,76.87,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
461,Huaicheng,CN,70.79,overcast clouds,23.9051,112.1931,Tengye Hotel
462,Ambulu,ID,75.83,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
463,Darnah,LY,60.37,clear sky,32.767,22.6367,فندق الفردوس
465,Ravar,IR,76.64,broken clouds,31.2656,56.8055,computertik
466,Cancun,MX,86.05,broken clouds,21.1743,-86.8466,Hotel Tankah Cancun
467,Westport,US,71.62,clear sky,41.1415,-73.3579,The Inn at Longshore
468,Grand Gaube,MU,76.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
470,Mattru,SL,74.71,heavy intensity rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
473,Roma,US,62.74,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
474,Marsa Matruh,EG,62.8,clear sky,31.3525,27.2453,Beau Site
475,Syracuse,IT,63.77,light rain,37.0881,15.2792,Hotel Posta
477,Taiyuan,CN,66.06,clear sky,37.8694,112.5603,Taiyuan Wanda Wenhua Hotel
478,Adrar,MR,82.58,broken clouds,20.5022,-10.0711,
479,Frutal,BR,62.04,clear sky,-20.0247,-48.9406,Hotel Recanto Dos Ipês
481,Cienfuegos,CU,84.34,scattered clouds,22.1461,-80.4356,Casa Claumar B2BPay
483,Praia Da Vitoria,PT,63.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
484,Port Hedland,AU,68.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
485,Shimoda,JP,66.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
492,Dhidhdhoo,MV,83.39,moderate rain,6.8833,73.1,Dhidhoo beach
493,Ormara,PK,80.17,clear sky,25.2088,64.6357,Kenara Colony house for Rent
496,Saint Anthony,US,66.83,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
497,Rosario Oeste,BR,68.36,clear sky,-14.8361,-56.4275,Alvorada Palace accomodation
500,Pampa,US,73.44,scattered clouds,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
503,Qui Nhon,VN,76.19,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
506,Souillac,MU,75.58,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
509,Rock Sound,BS,78.24,clear sky,24.9,-76.2,Pink Corral Bay Property
510,Kitgum,UG,68.74,scattered clouds,3.2783,32.8867,Jaflo Gardens Hotel
512,Ahipara,NZ,66.88,few clouds,-35.1667,173.1667,Ahipara Holiday Park
513,Malinyi,TZ,69.91,light rain,-8.9333,36.1333,
514,Presidencia Roque Saenz Pena,AR,63.43,broken clouds,-26.7852,-60.4388,Hotel Gualok
520,Ron,IN,78.39,broken clouds,15.6667,75.7333,Sangalad Lodging
521,Puerto Narino,CO,72.7,heavy intensity rain,-3.7703,-70.3831,Eware Refugio Amazonico
524,Luena,AO,61.07,broken clouds,-11.7833,19.9167,Hotel Kandamba
527,Nueva Germania,PY,67.66,overcast clouds,-23.9,-56.5667,Estancia Ña Luisa
530,General Roca,AR,64.62,clear sky,-39.0333,-67.5833,Hotel El Recreo
531,Kaseda,JP,67.48,overcast clouds,31.4167,130.3167,Sun Stay Kaseda
532,Fortuna,US,61.14,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
533,Biak,ID,79.27,overcast clouds,-0.9131,122.8766,Penginapan Kim
535,Imbituba,BR,67.86,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
536,Atar,MR,83.8,clear sky,20.5169,-13.0499,Oumou Elghoura
539,Doha,QA,89.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
540,Neuquen,AR,60.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
541,Dondo,MZ,69.31,clear sky,-19.6094,34.7431,Arco Iris
542,Coari,BR,75.45,few clouds,-4.085,-63.1414,Dellrey Hotel Center
545,Makakilo City,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
546,Ketou,BJ,77.81,overcast clouds,7.3633,2.5998,Residences Celine Hotel Ketou
547,Palmas,BR,75.07,light rain,-10.2128,-48.3603,Hotel Lago da Palma
548,Mao,ES,61.36,clear sky,39.8885,4.2658,ARTIEM Capri
549,Gilgit,PK,65.44,overcast clouds,35.9221,74.3087,Tourist Hamlet Gilgit
552,Nouadhibou,MR,66.18,scattered clouds,20.931,-17.0347,El Medina
554,Buraydah,SA,84.65,clear sky,26.326,43.975,Mövenpick Qassim
555,Abu Dhabi,AE,82.51,clear sky,24.4667,54.3667,Beach Rotana
557,Diapaga,BF,88.54,overcast clouds,12.0708,1.7889,
558,Trincomalee,LK,80.22,overcast clouds,8.5711,81.2335,Welcombe Hotel
559,Tiarei,PF,80.62,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
564,Corrales,US,80.38,clear sky,35.2378,-106.6067,Quality Inn
565,Kudahuvadhoo,MV,83.17,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
568,Mettur,IN,77.9,overcast clouds,11.8,77.8,Hotel Akash Residency
569,Ilo,PE,66.29,few clouds,-17.6394,-71.3375,Torreblanca Hotel
571,Parana,AR,66.51,clear sky,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
574,Caruray,PH,81.93,overcast clouds,10.3094,119.0128,
575,Prieska,ZA,65.26,clear sky,-29.6641,22.7474,Avenue GuestHouse
577,Barabai,ID,75.4,broken clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
