City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
93,93,Valparaiso,CL,-33.0393,-71.6273,59.23,84,100,6.91,mist
94,94,Paraiba Do Sul,BR,-22.1619,-43.2928,68.92,82,5,3.11,clear sky
96,96,Vilhena,BR,-12.7406,-60.1458,75.42,64,0,9.22,clear sky
97,97,Atuona,PF,-9.8,-139.0333,79.12,78,100,14.32,overcast clouds
99,99,Port Macquarie,AU,-31.4333,152.9167,64.89,84,80,10.04,broken clouds
100,100,Zlobin,HR,45.2924,14.6541,51.15,71,0,2.3,clear sky
101,101,Bredasdorp,ZA,-34.5322,20.0403,57.63,93,16,4.61,few clouds
103,103,Mayumba,GA,-3.432,10.6554,78.44,93,93,3.71,light rain
104,104,Airai,TL,-8.9266,125.4092,59.72,92,51,2.8,broken clouds
105,105,Mayskiy,RU,47.6931,40.1025,51.21,46,100,16.53,overcast clouds
106,106,Marakkanam,IN,12.2,79.95,84.4,78,94,9.28,overcast clouds
107,107,Pouebo,NC,-20.4,164.5667,78.31,74,18,8.41,few clouds
108,108,Duluth,US,46.7833,-92.1066,65.07,49,0,11.5,clear sky
110,110,Hokitika,NZ,-42.7167,170.9667,58.69,78,0,2.59,clear sky
111,111,Katobu,ID,-4.9408,122.5276,75.2,92,99,2.44,overcast clouds
112,112,Birao,CF,10.2849,22.7882,83.28,55,66,6.42,broken clouds
114,114,Kavieng,PG,-2.5744,150.7967,84.58,74,87,13.44,overcast clouds
116,116,Coruripe,BR,-10.1256,-36.1756,78.13,81,3,9.26,clear sky
117,117,Yumen,CN,40.2833,97.2,57.87,25,100,22.35,overcast clouds
119,119,Puerto Guzman,CO,0.9703,-76.5858,70.84,100,100,2.28,moderate rain
120,120,Ouesso,CG,1.6136,16.0517,69.69,99,100,1.72,light rain
121,121,Banda Aceh,ID,5.5577,95.3222,78.8,85,98,13.73,light rain
122,122,Weiser,US,44.251,-116.9693,70.0,49,100,11.01,light rain
123,123,Itarema,BR,-2.9248,-39.9167,77.2,89,66,10.27,broken clouds
125,125,Capitan Bado,PY,-23.2667,-55.5333,63.72,80,100,4.36,overcast clouds
126,126,Naduvattam,IN,11.4833,76.5667,57.47,83,100,3.65,overcast clouds
127,127,Hithadhoo,MV,-0.6,73.0833,84.04,74,100,15.77,heavy intensity rain
128,128,Yancheng,CN,33.3856,120.1253,58.84,96,85,7.31,overcast clouds
129,129,Talcahuano,CL,-36.7167,-73.1167,55.08,94,100,3.44,mist
130,130,Viedma,AR,-40.8135,-62.9967,60.71,58,73,6.64,broken clouds
131,131,East London,ZA,-33.0153,27.9116,71.38,45,0,5.93,clear sky
132,132,Pokhara,NP,28.2333,83.9833,67.01,86,82,3.62,broken clouds
133,133,Black Forest,US,39.0131,-104.7008,65.34,33,0,14.0,clear sky
134,134,Carnarvon,AU,-24.8667,113.6333,60.87,51,0,9.22,clear sky
135,135,Chuy,UY,-33.6971,-53.4616,57.74,78,89,5.86,overcast clouds
136,136,Port Lincoln,AU,-34.7333,135.8667,56.03,55,94,8.99,moderate rain
137,137,Macau,MO,22.2006,113.5461,75.0,88,40,8.05,scattered clouds
