City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
432,432,Benicarlo,ES,40.4165,0.4271,65.25,63,2,9.22,clear sky
437,437,Acari,PE,-15.4311,-74.6158,69.93,82,20,5.35,few clouds
440,440,Richards Bay,ZA,-28.783,32.0377,65.43,94,1,7.14,clear sky
442,442,Mwene-Ditu,CD,-7.0,23.45,66.02,85,83,3.49,broken clouds
477,477,Taiyuan,CN,37.8694,112.5603,66.06,59,0,6.71,clear sky
484,484,Port Hedland,AU,-20.3167,118.5667,68.05,52,0,9.22,clear sky
485,485,Shimoda,JP,34.6667,138.95,66.11,73,100,2.28,overcast clouds
496,496,Saint Anthony,US,45.0205,-93.218,66.83,41,100,5.75,overcast clouds
497,497,Rosario Oeste,BR,-14.8361,-56.4275,68.36,52,0,3.0,clear sky
510,510,Kitgum,UG,3.2783,32.8867,68.74,79,27,2.66,scattered clouds
512,512,Ahipara,NZ,-35.1667,173.1667,66.88,63,20,7.63,few clouds
513,513,Malinyi,TZ,-8.9333,36.1333,69.91,95,89,1.12,light rain
527,527,Nueva Germania,PY,-23.9,-56.5667,67.66,73,98,3.56,overcast clouds
531,531,Kaseda,JP,31.4167,130.3167,67.48,89,100,12.91,overcast clouds
535,535,Imbituba,BR,-28.24,-48.6703,67.86,80,1,10.0,clear sky
541,541,Dondo,MZ,-19.6094,34.7431,69.31,84,4,3.04,clear sky
549,549,Gilgit,PK,35.9221,74.3087,65.44,63,98,1.5,overcast clouds
552,552,Nouadhibou,MR,20.931,-17.0347,66.18,77,35,18.41,scattered clouds
569,569,Ilo,PE,-17.6394,-71.3375,66.29,84,20,6.8,few clouds
571,571,Parana,AR,-31.732,-60.5238,66.51,84,0,7.23,clear sky
575,575,Prieska,ZA,-29.6641,22.7474,65.26,32,0,3.62,clear sky
583,583,Carbondale,US,37.7273,-89.2168,65.05,88,75,9.22,broken clouds
587,587,Itirucu,BR,-13.5317,-40.1503,67.26,89,47,6.33,scattered clouds
621,621,Uige,AO,-7.6087,15.0613,68.58,77,61,3.36,broken clouds
633,633,Khandbari,NP,27.3747,87.2039,68.67,79,91,1.52,overcast clouds
647,647,Hualmay,PE,-11.0964,-77.6139,65.75,86,16,10.38,few clouds
648,648,Porto Murtinho,BR,-21.6989,-57.8825,66.69,65,0,4.47,clear sky
674,674,Kalabo,ZM,-14.97,22.6814,66.4,60,42,3.13,scattered clouds
682,682,Bengbu,CN,32.9408,117.3608,66.94,67,21,6.82,few clouds
